source,source_row,source_col,method,metric,train,dataset,value,status
April29.csv,5,19,categorical,test_f1_macro_end,synthetic,Adult,0.7187076670888153,Historical; test scaling and test maxima
April29.csv,5,20,categorical,test_f1_macro_end,synthetic,Census,0.7165263753134499,Adult duplicate; do not count independently
April29.csv,5,21,categorical,test_f1_macro_end,synthetic,Census_Kdd,0.7202976902626278,Routes to Census/Adult; not verified KDD
April29.csv,5,22,categorical,test_f1_macro_end,synthetic,Covertype,0.4801810746254698,Methods indicate different test-set versions
April29.csv,5,23,categorical,test_f1_macro_end,synthetic,MNIST12,0.791463152,Promising; unbound generator/split provenance
April29.csv,5,24,categorical,test_f1_macro_end,synthetic,MNIST28,0.8051613021162994,Promising; unbound generator/split provenance
April29.csv,5,32,categorical,test_f1_macro_max,synthetic,Adult,0.7187076670888153,Historical; test scaling and test maxima
April29.csv,5,33,categorical,test_f1_macro_max,synthetic,Census,0.7187288961250002,Adult duplicate; do not count independently
April29.csv,5,34,categorical,test_f1_macro_max,synthetic,Census_Kdd,0.7252313699509958,Routes to Census/Adult; not verified KDD
April29.csv,5,35,categorical,test_f1_macro_max,synthetic,Covertype,0.4803481342357591,Methods indicate different test-set versions
April29.csv,5,36,categorical,test_f1_macro_max,synthetic,MNIST12,0.7949670962628057,Promising; unbound generator/split provenance
April29.csv,5,37,categorical,test_f1_macro_max,synthetic,MNIST28,0.8104945617915569,Promising; unbound generator/split provenance
April29.csv,5,45,categorical,test_f1_micro_end,synthetic,Adult,0.7630694940163762,Historical; test scaling and test maxima
April29.csv,5,46,categorical,test_f1_micro_end,synthetic,Census,0.7595003149275666,Adult duplicate; do not count independently
April29.csv,5,47,categorical,test_f1_micro_end,synthetic,Census_Kdd,0.7660088179718665,Routes to Census/Adult; not verified KDD
April29.csv,5,48,categorical,test_f1_micro_end,synthetic,Covertype,0.6309647771572162,Methods indicate different test-set versions
April29.csv,5,49,categorical,test_f1_micro_end,synthetic,MNIST12,0.7922,Promising; unbound generator/split provenance
April29.csv,5,50,categorical,test_f1_micro_end,synthetic,MNIST28,0.8084,Promising; unbound generator/split provenance
April29.csv,5,58,categorical,test_f1_micro_max,synthetic,Adult,0.7634893974385891,Historical; test scaling and test maxima
April29.csv,5,59,categorical,test_f1_micro_max,synthetic,Census,0.7644341801385681,Adult duplicate; do not count independently
April29.csv,5,60,categorical,test_f1_micro_max,synthetic,Census_Kdd,0.7723073693050598,Routes to Census/Adult; not verified KDD
April29.csv,5,61,categorical,test_f1_micro_max,synthetic,Covertype,0.6312401573109128,Methods indicate different test-set versions
April29.csv,5,62,categorical,test_f1_micro_max,synthetic,MNIST12,0.7957,Promising; unbound generator/split provenance
April29.csv,5,63,categorical,test_f1_micro_max,synthetic,MNIST28,0.8136,Promising; unbound generator/split provenance
April29.csv,6,19,compare_sdv_categorical,test_f1_macro_end,synthetic,Adult,0.7170661259844104,Historical; test scaling and test maxima
April29.csv,6,20,compare_sdv_categorical,test_f1_macro_end,synthetic,Census,0.7170731252988158,Adult duplicate; do not count independently
April29.csv,6,21,compare_sdv_categorical,test_f1_macro_end,synthetic,Census_Kdd,0.7172767629855854,Routes to Census/Adult; not verified KDD
